"instant_m","pinks","pink_abundance","releases","basin","region","stock","life_hist","origin","year_code","year","stock_lab","npgo","sog_seals","ps_seals","juan_seals","coast_seals","salish_herring","max_temp","precip","sst","sst_arc","salish_seals","releases_x_pinks","releases_x_pink_ab","chill_code"
4.43121687886465,"0",0,-0.226461628997462,"PS","12","30","1","H","36",2007,"Skagit Spring Yearling",-0.37,38564.7557,15032.404,2704.509808,8.84139835073562,10.8356122627128,15.29782609,167.3,0.145652173913044,0.064572051,10.9384794674714,0,0,"0"
4.18645985112991,"1",6.47902200447699,-0.0876123845398094,"PS","12","30","1","H","37",2008,"Skagit Spring Yearling",1.02,37552.32189,15031.8524,2704.410569,8.85632500679186,10.7372875828432,13.52608696,163.9,-0.194347826086956,-0.487957437,10.9203217441229,-0.0876123845398094,-0.567642567298124,"0"
3.82584530918709,"0",0,-0.218284016104668,"PS","12","30","1","H","38",2009,"Skagit Spring Yearling",0.65,37914.58374,15018.17957,2701.950662,8.87012866630768,11.1140287377401,13.99347826,282.8,0.295652173913044,0.142139099,10.9265626374264,0,0,"0"
3.18689277901515,"1",7.11010461966707,-0.431475009560645,"PS","12","30","1","H","39",2010,"Skagit Spring Yearling",1.85,38258.13196,14991.31071,2697.116633,8.88289381689129,10.975310866114,14.04130435,256.2,0.115652173913045,-0.55773872,10.9321522159242,-0.431475009560645,-3.06783245874804,"0"
4.26869794936688,"0",0,-0.135648584575315,"PS","12","30","1","H","40",2011,"Skagit Spring Yearling",0.69,38604.7931,14951.09971,2689.88219,8.8946985901574,11.5099811346808,12.49347826,354.8,-0.0843478260869563,-0.53660365,10.9374862061346,0,0,"0"
3.62684406319448,"1",6.57779790563847,-0.384165981821987,"PS","12","30","1","H","41",2012,"Skagit Spring Yearling",0.94,38954.59538,14897.32987,2680.208351,8.90561523934203,11.0211341996012,14.02065217,303.3,-0.314347826086957,-0.813698416,10.9425644917662,-0.384165981821987,-2.52696619064621,"0"
4.67774087882293,"0",0,-0.00182951803136797,"PS","12","31","0","H","30",2001,"Skykomish",2.74,41801.32199,14755.34531,2654.663626,8.72258368220941,11.6722342474551,14.09565217,185.1,0.225652173913044,-0.196391989,10.9888682033343,0,0,"0"
5.03595310208055,"1",6.7520342280507,0.205803687536123,"PS","12","31","0","H","31",2002,"Skykomish",1.98,42295.46676,14835.94782,2669.164984,8.74644927842205,11.8173392778976,12.57934783,209.2,0.195652173913045,-0.017439412,10.9987706315974,0.205803687536123,1.38959354250295,"0"
4.8283137373023,"0",0,-0.16281856188412,"PS","12","31","0","H","32",2003,"Skykomish",1.48,42822.23217,14902.38449,2681.117738,8.76851936289486,12.0267426096722,13.825,260.2,0.365652173913045,0.495117412,11.0088393197806,0,0,"0"
4.45675018086982,"1",6.2949465692458,-0.168610881063209,"PS","12","31","0","H","33",2004,"Skykomish",0.44,41696.14139,14955.0031,2690.584457,8.78892901958814,11.8118886655399,15.9826087,134.7,0.655652173913044,0.890611382,10.9910680297028,-0.168610881063209,-1.06139648728636,"0"
