"instant_m","pinks","pink_abundance","releases","basin","region","stock","stock_name","origin","year_code","year","stock_lab","npgo","sog_seals","ps_seals","juan_seals","coast_seals","salish_herring","max_temp","precip","sst","sst_arc","salish_seals","releases_x_pinks","releases_x_pink_ab"
2.07147337203066,"1",6.26995635156381,0.590475958226896,"SOG","6","CHI","Chilliwack","H","17",1988,"Chilliwack",0.96,21605.2007,11765.406,2322.54,8.47901308195908,10.5447359923049,14.6673913,253.3,-0.0243478260869558,-0.220489463,10.4827139801516,0.590475958226896,3.70225848473046
2.24431618487007,"0",0,0.571911088101835,"SOG","6","CHI","Chilliwack","H","18",1989,"Chilliwack",0.97,24876.63734,11663.32035,2145.060001,8.63239690347567,11.2853973153382,15.225,289.3,0.105652173913043,0.174606448,10.5632076642925,0,0
2.40794560865187,"1",6.16103374739142,0.452316465583332,"SOG","6","CHI","Chilliwack","H","19",1990,"Chilliwack",0.21,28718.0137,11781.95705,1747.26,8.57999312590002,11.3216196705048,15.19891304,180.6,0.705652173913045,0.357316227,10.6512940862585,0.452316465583332,2.78673700895972
2.86470401114759,"0",0,0.641821150799607,"SOG","6","CHI","Chilliwack","H","20",1991,"Chilliwack",-0.62,27530.09234,13439.52,1894.14,8.67640987432453,11.0152957246316,13.69347826,319.9,-0.134347826086955,-0.294367106,10.6657818139588,0,0
2.83021783507642,"1",6.63664819779845,0.761595444005675,"SOG","6","CHI","Chilliwack","H","21",1992,"Chilliwack",-0.26,26357.67756,13799.07,2417.4,8.76596238332942,11.4646171846761,17.82608696,150.4,0.245652173913044,0.596018105,10.6590024832518,0.761595444005675,5.05444103091178
2.74887219562247,"0",0,0.851522604793993,"SOG","6","CHI","Chilliwack","H","22",1993,"Chilliwack",-2.23,32905.28954,15938.01,3295.620001,8.59827904731374,11.5669874230688,15.86195652,310.2,0.0956521739130434,0.513727288,10.8616669650058,0,0
3.29683736633791,"1",6.24552022448839,0.692017970246098,"SOG","6","CHI","Chilliwack","H","23",1994,"Chilliwack",-1.9,41049.55851,15114.11807,2276.639999,8.58721353431361,11.3201534923014,16.36630435,174.9,0.385652173913044,0.318088416,10.9757612830129,0.692017970246098,4.32201222888142
3.2188758248682,"0",0,0.67445582109061,"SOG","6","CHI","Chilliwack","H","24",1995,"Chilliwack",-1.37,41095.4792,16981.7181,3489.929999,8.91550074537209,11.2949311336387,16.59565217,176.1,0.555652173913044,0.135559121,11.0278833593375,0,0
3.68887945411394,"1",5.9109536257291,0.906947048583829,"SOG","6","CHI","Chilliwack","H","25",1996,"Chilliwack",-0.95,41373.41857,18257.49,3041.639999,8.47213724636392,11.3420659670797,14.39565217,241.6,0.125652173913045,0.331541892,11.045678808883,0.906947048583829,5.36092194517089
4.3428059215206,"0",0,1.02910065729214,"SOG","6","CHI","Chilliwack","H","26",1997,"Chilliwack",-1.12,36548.51525,15795.72,3494.520001,8.77309508134169,11.1398162145681,14.63369565,364.6,0.715652173913044,1.241186385,10.9302234458375,0,0
4.3428059215206,"1",5.65677196928421,0.868384896988175,"SOG","6","CHI","Chilliwack","H","27",1998,"Chilliwack",1.11,32223.48392,14669.64,2653.019999,8.66490702311481,11.354621170818,14.24673913,176.1,0.935652173913043,0.036929395,10.8106597147117,0.868384896988175,4.91225534383247
3.38139475436598,"0",0,1.09189523231913,"SOG","6","CHI","Chilliwack","H","28",1999,"Chilliwack",1.78,36560.08502,13691.97,2680.559999,8.53087713730968,11.5174352804481,13.22934783,184.4,0.245652173913044,-0.91383573,10.876774968865,0,0
3.05760767727208,"1",5.69888259867993,1.05291792253548,"SOG","6","CHI","Chilliwack","H","29",2000,"Chilliwack",1.89,41388.59422,14660.16399,2637.539365,8.69677650046272,11.3589114424716,13.76195652,192.4,0.465652173913044,0.090775407,10.9799615471358,1.05291792253548,6.00045562657569
3.44201937618241,"0",0,1.22994441244496,"SOG","6","CHI","Chilliwack","H","30",2001,"Chilliwack",2.74,41801.32199,14755.34531,2654.663626,8.72258368220941,11.6722342474551,14.09565217,185.1,0.225652173913044,-0.196391989,10.9888682033343,0,0
3.68887945411394,"1",6.7520342280507,1.249757729627,"SOG","6","CHI","Chilliwack","H","31",2002,"Chilliwack",1.98,42295.46676,14835.94782,2669.164984,8.74644927842205,11.8173392778976,12.57934783,209.2,0.195652173913045,-0.017439412,10.9987706315974,1.249757729627,8.43840696721245
3.86323284125871,"0",0,1.27038022545708,"SOG","6","CHI","Chilliwack","H","32",2003,"Chilliwack",1.48,42822.23217,14902.38449,2681.117738,8.76851936289486,12.0267426096722,13.825,260.2,0.365652173913045,0.495117412,11.0088393197806,0,0
4.02295456613543,"1",6.45923895384189,-0.0838764789992463,"COL","7","COW","Cowlitz","H","11",1982,"Cowlitz",-0.56,9739.265207,7573.694523,1362.598499,8.04171645745993,11.6674046622583,13.85108696,163.4,0.385652173913044,-0.47813039,9.83497090133472,-0.0838764789992463,-0.541778220463033
4.03419063940235,"0",0,0.531300565156412,"COL","7","COW","Cowlitz","H","12",1983,"Cowlitz",0.5,11164.34634,7594.447944,1350.990001,8.19126081453495,11.3513120077616,15.85869565,177.2,0.855652173913043,0.109153091,9.90896175595631,0,0
4.32753844938981,"1",6.46699722313662,1.54128798955088,"COL","7","COW","Cowlitz","H","13",1984,"Cowlitz",0.3,12905.21523,9464.157254,1568.250001,8.1828969529928,10.6856295584176,14.11304348,257.9,0.065652173913044,0.151044351,10.0832066627768,1.54128798955088,9.96750514847936
2.88419089882108,"0",0,0.952376039720197,"COL","7","COW","Cowlitz","H","14",1985,"Cowlitz",0.16,14330.13492,8957.328203,1970.640001,8.2568305229383,10.6482067386401,13.94456522,120,0.175652173913043,-0.218204901,10.136902299023,0,0
3.91202300542815,"1",5.93595480387523,1.7932411346224,"COL","7","COW","Cowlitz","H","15",1986,"Cowlitz",-0.9,15991.89543,9045.868491,1298.97,7.9146798192784,10.9579912015782,14.75978261,146.8,0.155652173913044,0.053768348,10.1787199706842,1.7932411346224,10.6445983275685
3.47376807449699,"0",0,0.82807977842946,"COL","7","COW","Cowlitz","H","16",1987,"Cowlitz",0.58,19232.75625,9608.363973,1554.48,8.4974230433886,10.9343383541094,16.2923913,267.3,0.185652173913043,-0.276376541,10.3220531474134,0,0
3.18931702262666,"1",6.26995635156381,0.992037884874056,"COL","7","COW","Cowlitz","H","17",1988,"Cowlitz",0.96,21605.2007,11765.406,2322.54,8.47901308195908,10.5447359923049,14.6673913,253.3,-0.0243478260869558,-0.220489463,10.4827139801516,0.992037884874056,6.22003423725802
4.96184512992682,"0",0,0.711577568285183,"COL","7","COW","Cowlitz","H","18",1989,"Cowlitz",0.97,24876.63734,11663.32035,2145.060001,8.63239690347567,11.2853973153382,15.225,289.3,0.105652173913043,0.174606448,10.5632076642925,0,0
3.13269812862715,"1",6.16103374739142,1.15469500535059,"COL","7","COW","Cowlitz","H","19",1990,"Cowlitz",0.21,28718.0137,11781.95705,1747.26,8.57999312590002,11.3216196705048,15.19891304,180.6,0.705652173913045,0.357316227,10.6512940862585,1.15469500535059,7.11411489590933
4.57561138374655,"0",0,1.70004920213973,"COL","7","COW","Cowlitz","H","20",1991,"Cowlitz",-0.62,27530.09234,13439.52,1894.14,8.67640987432453,11.0152957246316,13.69347826,319.9,-0.134347826086955,-0.294367106,10.6657818139588,0,0
5.22135632541191,"1",6.63664819779845,1.61400719002948,"COL","7","COW","Cowlitz","H","21",1992,"Cowlitz",-0.26,26357.67756,13799.07,2417.4,8.76596238332942,11.4646171846761,17.82608696,150.4,0.245652173913044,0.596018105,10.6590024832518,1.61400719002948,10.7115979089429
6.50229017087397,"0",0,1.85081019358797,"COL","7","COW","Cowlitz","H","22",1993,"Cowlitz",-2.23,32905.28954,15938.01,3295.620001,8.59827904731374,11.5669874230688,15.86195652,310.2,0.0956521739130434,0.513727288,10.8616669650058,0,0
6.07484615604703,"1",6.24552022448839,0.530312875042677,"COL","7","COW","Cowlitz","H","23",1994,"Cowlitz",-1.9,41049.55851,15114.11807,2276.639999,8.58721353431361,11.3201534923014,16.36630435,174.9,0.385652173913044,0.318088416,10.9757612830129,0.530312875042677,3.31207978638563
5.5727542122498,"0",0,0.262391786546404,"COL","7","COW","Cowlitz","H","24",1995,"Cowlitz",-1.37,41095.4792,16981.7181,3489.929999,8.91550074537209,11.2949311336387,16.59565217,176.1,0.555652173913044,0.135559121,11.0278833593375,0,0
5.47267075369281,"1",5.9109536257291,1.18144551910299,"COL","7","COW","Cowlitz","H","25",1996,"Cowlitz",-0.95,41373.41857,18257.49,3041.639999,8.47213724636392,11.3420659670797,14.39565217,241.6,0.125652173913045,0.331541892,11.045678808883,1.18144551910299,6.9834696747432
3.97389840914623,"0",0,0.624305930129789,"COL","7","COW","Cowlitz","H","28",1999,"Cowlitz",1.78,36560.08502,13691.97,2680.559999,8.53087713730968,11.5174352804481,13.22934783,184.4,0.245652173913044,-0.91383573,10.876774968865,0,0
3.34955414851032,"1",5.69888259867993,0.812921039335357,"COL","7","COW","Cowlitz","H","29",2000,"Cowlitz",1.89,41388.59422,14660.16399,2637.539365,8.69677650046272,11.3589114424716,13.76195652,192.4,0.465652173913044,0.090775407,10.9799615471358,0.812921039335357,4.63274156516906
3.89222037813197,"0",0,0.201661912874937,"COL","7","COW","Cowlitz","H","30",2001,"Cowlitz",2.74,41801.32199,14755.34531,2654.663626,8.72258368220941,11.6722342474551,14.09565217,185.1,0.225652173913044,-0.196391989,10.9888682033343,0,0
3.86323284125871,"1",6.7520342280507,-0.0198286268398557,"COL","7","COW","Cowlitz","H","31",2002,"Cowlitz",1.98,42295.46676,14835.94782,2669.164984,8.74644927842205,11.8173392778976,12.57934783,209.2,0.195652173913045,-0.017439412,10.9987706315974,-0.0198286268398557,-0.133883567117951
3.56136613381498,"0",0,-0.132221537134196,"COL","7","COW","Cowlitz","H","32",2003,"Cowlitz",1.48,42822.23217,14902.38449,2681.117738,8.76851936289486,12.0267426096722,13.825,260.2,0.365652173913045,0.495117412,11.0088393197806,0,0
4.66704558970618,"1",6.2949465692458,-0.252820838563286,"COL","7","COW","Cowlitz","H","33",2004,"Cowlitz",0.44,41696.14139,14955.0031,2690.584457,8.78892901958814,11.8118886655399,15.9826087,134.7,0.655652173913044,0.890611382,10.9910680297028,-0.252820838563286,-1.5914936703478
